Number of Superpixels (S),5,10,20,30
1,0.4401022716097945,0.5238675785508969,0.614831573655103,0.6575417855686914
3,0.5250172091651096,0.6196253345227476,0.7153745600804424,0.7613432531593968
5,0.552217523846986,0.6096045197740112,0.7093212669683258,0.7571545046881369
10,0.6623266791228243,0.7215283972643473,0.8030367018602312,0.8281186302486752
20,0.6788966466712558,0.7913271880265635,0.8636500754147814,0.8784957195271097
30,0.6495132264726129,0.7553374962830807,0.8528305681246857,0.8800856094578068
40,0.6171894974923788,0.7521161661215185,0.8590648567119155,0.8903077863840195
50,0.613472317828695,0.7584002378828428,0.8564705882352941,0.8984406848756624
75,0.5335037860163241,0.747854098523144,0.8474710910005028,0.8900122299225439
100,0.5391483921722883,0.7083159877093864,0.8354047259929611,0.8919894007337954
150,0.4230307798210247,0.628793735751809,0.7761890397184514,0.8672645739910315
200,0.41286262169338184,0.6313014173852711,0.7740774258421317,0.8424378312270688
300,0.34255088995968136,0.5089999008821489,0.6965007541478131,0.8058907460252751
