,Overall Accuracy
1,0.8067876070118223
3,0.8617305340399511
5,0.846881369751325
10,0.8884732980024459
20,0.9131777415409703
30,0.9087647778230737
40,0.9129535262943334
50,0.916449245821443
75,0.8996942519364042
100,0.9006318793314309
150,0.8674989808397878
200,0.8644007337953526
300,0.7949143905421931
